S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1392,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,Group 1,EWS,384,328
1393,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,Group 1,OPEN,490,430
1394,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,Group 1,SC,324,263
1395,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,OBC,399,354
1396,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,EWS,341,341
1397,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,OPEN,470,447
1398,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,Group 1,OBC,427,354
1399,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,Group 1,EWS,389,324
1400,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,Group 1,OPEN,546,430
1401,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,Group 1,SC,283,283
1402,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,OBC,428,403
1403,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,EWS,403,400
1404,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,OPEN,474,442
1405,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,SC,328,292
1406,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,ST,299,281
1407,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,OBC,392,377
1408,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,EWS,328,328
1409,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,OPEN,418,415
1410,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,SC,282,271
1411,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OBC,493,441
1412,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,EWS,498,479
1413,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OPEN,574,498
1414,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,SC,396,269
1415,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,ST,320,320
1416,Round 1,"National Institute of Technology, Silchar",Material & Manufacturing Technology,Group 1,OBC,369,350
1417,Round 1,"National Institute of Technology, Silchar",Material & Manufacturing Technology,Group 1,OPEN,426,395
1418,Round 1,"National Institute of Technology, Silchar",Material & Manufacturing Technology,Group 1,SC,242,242
1419,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,Group 1,OBC,437,414
1420,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,Group 1,EWS,407,392
1421,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,Group 1,OPEN,543,442
1422,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,Group 1,SC,339,275
1423,Round 1,"National Institute of Technology, Silchar",Renewable Energy,Group 1,OBC,387,377
1424,Round 1,"National Institute of Technology, Silchar",Renewable Energy,Group 1,EWS,339,339
